,Timestamp,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago,Are you getting any Stock Options?,Main language at work,Company size,Company type
67,14/12/2018 14:04:31,25,M,Frankfurt,Frontend Developer,5,Middle,66000,55000,42000,No,English,100-1000,Agency
71,14/12/2018 14:08:20,32,M,Berlin,Frontend developer,6,Middle,50000,45000,42000,Yes,English,Oct-50,Product
75,14/12/2018 14:15:19,33,M,Frankfurt,Technical Lead,10,Senior,95000,84000,82000,No,Deutsch,1000+,Product
77,14/12/2018 14:19:00,31,M,Berlin,Technical product manager,1,Middle,65000,65000,60000,No,English,100-1000,Startup
81,14/12/2018 14:26:57,31,M,Berlin,DevOps,12,Senior,60000,49050,42500,No,English,50-100,Startup
83,14/12/2018 14:28:17,27,M,Berlin,DevOps Engineer,10,Senior,87000,75000,65000,No,English,100-1000,Product
84,14/12/2018 14:29:00,30,M,Berlin,iOS Developer,6,Senior,70000,55000,50000,No,English,100-1000,Product
89,14/12/2018 14:32:30,37,M,Berlin,Senior/Lead Developer,15,Senior,85000,75000,70000,Yes,English,up to 10,Startup
93,14/12/2018 14:33:16,36,M,Berlin,Mobile Lead,14,Senior,82000,72000,72000,No,English,100-1000,Product
95,14/12/2018 14:35:19,31,M,Berlin,Frontend developer,12,Senior,65000,60000,60000,No,English,100-1000,Product
96,14/12/2018 14:35:19,25,M,MÃ_nchen,Software Developer,3,Middle,62000,20000,16000,No,English,100-1000,Outsource
97,14/12/2018 14:35:22,28,M,Berlin,Frontend Engineer,6,Senior,62000,58000,55000,No,English,50-100,Startup
98,14/12/2018 14:36:04,38,M,Berlin,Front-end developer,19,Senior,83000,57000,57000,No,English,100-1000,Product
101,14/12/2018 14:37:59,37,M,MÃ_nchen,Head of Product ,8,Senior,100000,100000,85000,No,English,50-100,Agency
103,14/12/2018 14:39:31,40,M,Berlin,PHP Backend Developer,18,Senior,69000,65000,65000,No,English,50-100,Agency
104,14/12/2018 14:39:33,24,M,Berlin,Java Developer,3,Middle,50000,45000,40000,No,English,100-1000,Product
105,14/12/2018 14:40:36,36,M,Berlin,SW Developer,10,Middle,73000,58000,55000,No,English,50-100,Startup
106,14/12/2018 14:42:07,35,M,Berlin,Senior Engineer (PHP),15,Senior,120000,85000,70000,Yes,English,1000+,Product
110,14/12/2018 14:46:20,36,F,MÃ_nchen,QA ,3,Middle,30000,30000,12000,No,English,Oct-50,Product
114,14/12/2018 14:48:46,31,M,Berlin,Software Architect,12,Senior,78600,75000,69000,No,English,100-1000,Product
115,14/12/2018 14:51:20,34,M,Berlin,Principal Software Engineer,13,Senior,70000,84000,75000,No,English,Oct-50,Product
117,14/12/2018 14:56:28,32,M,Berlin,Senior Javascript Engineer,6,Senior,78000,65000,65000,No,English,100-1000,Startup
118,14/12/2018 14:57:07,34,M,Berlin,Engineering Manager,17,Senior,70000,70000,60000,Yes,English,50-100,Startup
119,14/12/2018 14:58:17,32,M,Luxembourg,SDE,8,Middle,89000,90000,65000,Yes,English,1000+,Product
122,14/12/2018 15:02:04,32,M,Berlin,Android developer ,9,Senior,72000,68000,68000,No,English,1000+,Product
124,14/12/2018 15:04:23,27,M,Berlin,Senior Software Engineer ,7,Senior,72000,65000,50000,No,English,1000+,Product
126,14/12/2018 15:05:08,34,M,Berlin,Agile coach,5,Senior,85000,70000,65000,No,English,1000+,Agency
129,14/12/2018 15:09:01,28,F,Berlin,Frontend Developer,4,Middle,56000,51000,45000,No,English,1000+,Product
130,14/12/2018 15:11:21,39,M,Bern, .Net Developer,10,Senior,107000,56000,54000,No,Deutsch,100-1000,Product
134,14/12/2018 15:14:28,35,M,Berlin,.NET developer,15,Senior,62000,54000,54000,No,English,100-1000,Product
135,14/12/2018 15:18:07,37,M,Berlin,Seniour software developer,14,Senior,78000,68000,65000,Yes,English,Oct-50,Startup
138,14/12/2018 15:21:25,27,F,Berlin,IT Project Manager,4,Middle,46000,46000,40000,No,Deutsch,100-1000,E-Commerce firm
139,14/12/2018 15:21:26,30,M,Bonn,Business Analyst,7,Middle,64000,60000,54000,No,English,1000+,Product
140,14/12/2018 15:22:45,33,M,Berlin,fullstack developer,10,Senior,65000,55000,55000,No,English,Oct-50,Product
141,14/12/2018 15:23:40,32,M,Berlin,Frontent Developer,5,Middle,58000,23000,18000,No,English,Oct-50,Startup
143,14/12/2018 15:27:36,30,M,Frankfurt,Software Developer,8,Senior,95000,80000,75000,No,English,100-1000,Product
147,14/12/2018 15:31:33,39,M,Berlin,Scala developer,20,Senior,84000,82000,54000,No,English,1000+,Product
152,14/12/2018 15:44:57,39,M,Berlin,DBA,17,Senior,87000,80000,65000,Yes,English,1000+,Product
154,14/12/2018 15:50:50,30,F,Berlin,Computational Linguist,3,Middle,50400,43200,38400,No,English,Oct-50,Startup
157,14/12/2018 15:56:16,27,M,Berlin,Data Scientist,2.5,Senior,66000,13000,13000,No,English,100-1000,Startup
159,14/12/2018 15:58:16,42,M,MÃ_nchen,Java Developer,15,Middle,42000,42000,45000,No,Deutsch,Oct-50,Product
160,14/12/2018 16:11:51,31,M,Berlin,Full stack engineer,11,Senior,65000,55000,36000,No,English,100-1000,Product
161,14/12/2018 16:13:11,34,M,Berlin,Software engineer,8,Middle,74000,72000,54000,No,English,1000+,Startup
163,14/12/2018 16:15:58,30,M,MÃ_nchen,Software Engineer,8,Senior,72500,65000,58000,No,English,100-1000,Product
164,14/12/2018 16:18:51,37,M,Berlin,Database Administrator,7,Senior,53000,47000,44000,No,Deutsch,100-1000,Product
166,14/12/2018 16:23:37,27,M,Hamburg,Frontend Developer,11,Senior,60000,58000,50000,No,English,100-1000,Product
167,14/12/2018 16:28:22,30,M,Berlin,Software Engineer JavaSctipt,10,Senior,75000,56000,50000,No,English,1000+,Product
170,14/12/2018 16:37:06,35,M,Berlin,Developer,9,Senior,60000,60000,55000,Yes,English,up to 10,Startup
171,14/12/2018 16:39:31,36,M,Berlin,Head of Engineering,15,Senior,85000,75000,72000,No,Deutsch,Oct-50,Product
174,14/12/2018 17:00:26,35,M,KÃ¶ln,Angular,5,Middle,35000,35000,35000,No,English,1000+,Product
175,14/12/2018 17:01:05,29,M,MÃ_nchen,Senior Android Developer,8,Senior,75000,58000,54000,No,English,50-100,Agency
176,14/12/2018 17:06:24,30,F,Berlin,Full Stack Developer,4,Middle,58000,45000,38000,No,English,Oct-50,Product
178,14/12/2018 17:09:32,30,M,Baden-WÃ_rttemberg ,Mobile developer,8,Senior,70000,55000,55000,Yes,English,Oct-50,Startup
179,14/12/2018 17:11:47,30,M,Berlin,PHP Developer,11,Senior,65000,65000,60000,No,English,50-100,Startup
180,14/12/2018 17:13:28,31,F,Berlin,Software Engineer,8,Senior,55800,52800,48000,No,Deutsch,1000+,Product
181,14/12/2018 17:28:55,26,M,Berlin,Automation QA,4,Middle,55000,55000,44000,No,English,1000+,Product
183,14/12/2018 17:45:50,34,M,Berlin,Android Developer,7,Senior,70000,56000,48000,No,Deutsch,100-1000,Product
184,14/12/2018 17:47:16,35,M,Berlin,PHP Developer,12,Senior,63000,63000,50000,No,English,100-1000,Product
185,14/12/2018 17:47:38,29,M,Berlin,Data scientist,8,Senior,115000,85000,65000,Yes,English,1000+,Product
187,14/12/2018 17:54:53,39,M,Frankfurt,SAP Consultant,13,Senior,176000,110000,100000,No,English,1000+,Product
188,14/12/2018 17:55:01,35,M,MÃ_nchen,C++ developer,14,Senior,70000,58000,56000,No,English,up to 10,Startup
191,14/12/2018 18:12:52,26,M,MÃ_nchen,Java Developer,4,Middle,58000,48000,48000,No,English,100-1000,Agency
193,14/12/2018 18:19:11,42,M,Stuttgart ,Digital Project Manager,3,Senior,60000,50000,41000,No,Deutsch,1000+,Personaldienstleister
194,14/12/2018 18:19:43,27,M,Berlin,Backend developer,3,Senior,64000,58000,50000,No,English,100-1000,Startup
195,14/12/2018 18:19:59,38,M,Berlin,PM,5,Senior,80000,80000,75000,Yes,English,Oct-50,Product
196,14/12/2018 18:21:16,24,M,MÃ_nchen,Machine Learning Engineet,2,Middle,58000,24480,24480,No,English,Oct-50,Startup
197,14/12/2018 18:22:41,32,M,Berlin,Machine Learning Engineer,8,Senior,95000,88000,80000,Yes,English,50-100,Product
200,14/12/2018 18:30:31,31,M,Stuttgart,Head of Development,12,Senior,75000,69000,60000,No,English,100-1000,Product
202,14/12/2018 18:47:44,30,M,KÃ¶ln,Data scientist,5,Middle,80000,78000,72000,No,English,1000+,Product
204,14/12/2018 18:51:51,24,M,MÃ_nchen,IT Consultant,4,Middle,60000,55000,20000,No,English,100-1000,Agency
206,14/12/2018 19:01:15,34,F,MÃ_nchen,C++ Developer ,6,Middle,63000,63000,55000,No,Deutsch,Oct-50,Product
207,14/12/2018 19:02:11,29,M,MÃ_nchen,System Engineer,8,Senior,75000,65000,60000,Yes,English,50-100,Product
211,14/12/2018 19:07:54,29,M,Berlin,backend developer,5,Middle,65000,57600,50000,Yes,English,50-100,Product
212,14/12/2018 19:08:18,29,M,Stuttgart,Computer Vision Engineer,6,Senior,125000,115000,90000,Yes,English,1000+,Product
213,14/12/2018 19:12:42,35,M,Berlin,Senior Software Engineer,10,Senior,68000,65000,60000,No,English,100-1000,Product
214,14/12/2018 19:13:13,36,M,Berlin,Engineer,13,Senior,80000,70000,66000,Yes,English,100-1000,Startup
216,14/12/2018 19:38:07,28,M,Stuttgart ,C++ Developer ,5,Middle,60000,60000,52000,No,English,100-1000,Agency
217,14/12/2018 19:38:08,32,M,Berlin,Senior Ruby Developer,13,Senior,65000,58000,51000,No,English,Oct-50,Startup
218,14/12/2018 19:43:14,38,M,Berlin,Senior Backend Engineer,15,Senior,92000,70000,60600,No,English,1000+,Product
219,14/12/2018 19:52:50,31,M,Berlin,Senior software engineer,8,Senior,75000,55000,45000,Yes,English,100-1000,Startup
221,14/12/2018 19:54:47,38,F,MÃ_nchen,Java Developer,16,Middle,58000,56000,54000,No,Deutsch,100-1000,Product
225,14/12/2018 20:41:56,27,M,MÃ_nchen,Senior Software Engineer,6,Senior,75000,71000,68000,No,English,1000+,Product
226,14/12/2018 20:53:08,36,M,Berlin,Java developer,12,Senior,80000,80000,80000,No,English,1000+,Product
233,14/12/2018 21:51:41,39,M,MÃ_nchen,Software Engineer,15,Senior,68000,68000,64000,No,English,100-1000,Startup
240,14/12/2018 22:26:29,31,M,Berlin,Lead Software Engineer,10,Senior,95000,82000,76000,Yes,English,1000+,Startup
243,14/12/2018 22:33:46,50,F,Bayern,Project manager,20,Senior,96000,94000,92000,No,Deutsch,100-1000,Product
245,14/12/2018 22:46:56,34,M,MÃ_nchen,Architect,11,Senior,83000,75000,67000,No,Russian,100-1000,Product
250,14/12/2018 23:53:16,38,M,Berlin,Head of BI,5,Senior,85000,72000,45000,No,English,1000+,Product
255,15/12/2018 00:31:39,31,M,Berlin,Senior PHP Developer,11,Senior,61000,55000,49000,No,English,100-1000,Product
256,15/12/2018 00:51:51,25,M,Berlin,Fullstack,5,Senior,60000,53000,47000,No,English,Oct-50,Product
257,15/12/2018 01:05:26,25,M,Berlin,Java developer,4,Middle,48000,42000,38000,No,English,Oct-50,Agency
258,15/12/2018 01:09:43,29,M,Berlin,Team Lead,10,Senior,75000,75000,62000,No,English,100-1000,Startup
259,15/12/2018 01:19:44,28,M,MÃ_nchen,Product Manager,5,Middle,65000,62000,65000,No,Russian,1000+,Product
261,15/12/2018 01:59:53,38,M,Stuttgart,IT Berater,18,Senior,84000,84000,84000,Yes,Russian,up to 10,Agency
265,15/12/2018 06:04:26,35,M,MÃ_nchen,DevOps engineer ,15,Senior,85000,65000,65000,No,Deutsch,100-1000,Product
267,15/12/2018 07:21:46,27,M,MÃ_nchen,iOS Developer,6,Senior,68000,55700,50000,No,English,100-1000,Startup
268,15/12/2018 07:45:54,33,M,MÃ_nchen,Senior Java Developer,12,Senior,75000,68000,65000,No,English,Oct-50,Startup
274,15/12/2018 09:16:51,32,M,Berlin,Senior PHP developer,8,Senior,60000,55000,48000,No,English,1000+,Product
275,15/12/2018 09:25:30,31,F,Berlin,QA,10,Senior,44000,40000,40000,No,English,100-1000,Startup
276,15/12/2018 09:26:39,36,M,MÃ_nchen,Product Manager,10,Senior,95000,80000,60000,No,Deutsch,1000+,Product
279,15/12/2018 10:11:07,31,F,Berlin,TA Engineer,8,Middle,46000,43000,40000,No,English,100-1000,Product
280,15/12/2018 10:12:07,30,M,Berlin,CTO,9,Senior,90000,67000,55000,Yes,English,up to 10,Agency
282,15/12/2018 10:27:44,33,M,Berlin,Java script,16,Senior,95000,80000,80000,Yes,English,Oct-50,Product
283,15/12/2018 10:29:47,38,M,MÃ_nchen,Frontend,5,Senior,70000,50000,40000,No,English,Oct-50,Startup
285,15/12/2018 10:43:27,28,M,Berlin,Lead DevOps,7,Senior,70000,65000,62000,No,English,100-1000,Startup
286,15/12/2018 10:45:12,37,M,Brno,DevOps,17,Middle,35000,25000,15000,Yes,English,100-1000,Product
290,15/12/2018 10:52:39,37,M,Berlin,Senior Backend Developer,17,Senior,80000,65000,61000,No,English,50-100,Startup
292,15/12/2018 10:55:32,33,M,MÃ_nchen,System Administrator,13,Senior,72000,70000,68000,No,Russian,Oct-50,Startup
294,15/12/2018 11:02:41,30,M,Berlin,Python Developer,2.5,Middle,52000,48000,42500,No,English,50-100,Product and Projects
295,15/12/2018 11:04:08,37,M,Dresden,Developer,10,Senior,53000,51000,49000,No,Deutsch,100-1000,Product
296,15/12/2018 11:12:37,30,M,Berlin,Javascript Developer in Test,8,Senior,72000,55000,55000,Yes,English,1000+,Product
299,15/12/2018 11:14:22,27,M,Berlin,Scala developer,5,Middle,63000,56000,52000,Yes,English,1000+,E-Commerce
302,15/12/2018 11:27:53,34,M,Berlin,QA Engineer,12,Senior,73500,70000,65000,No,English,100-1000,Product
303,15/12/2018 11:33:00,31,M,Berlin,Software Developer,10,Senior,83000,65000,57000,No,English,1000+,Product
304,15/12/2018 11:38:11,33,M,Krakow,DevOps Engineer,7,Senior,42000,35000,20000,No,English,100-1000,Outsource
306,15/12/2018 11:45:48,30,M,Berlin,Senior Software Engineer,9,Senior,130000,120000,120000,Yes,English,1000+,Product
316,15/12/2018 12:37:08,33,M,Berlin,Senior Software Engineer,12,Senior,85000,65000,65000,No,English,1000+,Product
319,15/12/2018 12:40:24,40,M,MÃ_nchen,Oracle Pl/SQL Developer,20,Senior,60000,55000,50000,No,Deutsch,Oct-50,Product
325,15/12/2018 13:09:24,28,M,Amsterdam,Python Developer,6,Senior,70000,30000,26000,No,English,100-1000,Product
328,15/12/2018 13:17:44,30,M,Berlin,iOS Developer,5,Senior,60000,50000,45000,No,English,50-100,Startup
330,15/12/2018 14:03:17,33,M,Konstanz,Data Scientist,10,Middle,65000,60000,60000,No,English,50-100,Product
335,15/12/2018 15:14:45,31,M,Amsterdam,C++ Engineer,10,Senior,68000,65000,65000,No,English,1000+,Product
336,15/12/2018 15:22:44,28,M,Berlin,Senior Software Engineer ,8,Senior,60000,55000,45000,No,English,Oct-50,Product
337,15/12/2018 15:25:05,26,M,Hamburg,Scala Developer,5,Senior,81000,78000,63000,Yes,English,100-1000,Startup
339,15/12/2018 16:05:51,42,M,Berlin,Head of Engineering,25,Senior,140000,130000,130000,Yes,English,1000+,Product
340,15/12/2018 16:14:24,39,M,Berlin,IT Administration,6,Senior,52000,46000,40000,No,English,50-100,Product
343,15/12/2018 16:32:01,33,M,Stuttgart,Java Developer,8,Middle,68000,68000,56000,No,Deutsch,100-1000,Product
344,15/12/2018 16:57:43,36,M,Dublin ,iOS developer ,7,Senior,90000,77000,70000,No,English,50-100,Product
345,15/12/2018 17:15:31,30,M,MÃ_nchen,Data Scientist,6,Middle,80000,72000,66000,No,English,1000+,Product
346,15/12/2018 17:33:01,28,M,Amsterdam,Scala\Java,10,Senior,80000,75000,70000,No,English,Oct-50,Startup
347,15/12/2018 17:48:02,32,M,MÃ_nchen,Full-Stack Web Developer,7,Senior,65000,63000,63000,No,English,100-1000,Product
348,15/12/2018 18:02:36,30,M,Amsterdam,Go Developer,10,Senior,70000,24000,22000,No,Russian,50-100,Product
351,15/12/2018 18:37:23,30,M,Berlin,Java Software Engineer ,4,Middle,55000,51000,49000,No,English,100-1000,Product
355,15/12/2018 20:26:59,32,M,Berlin,Java/JS Developer,11,Senior,87000,75000,72000,No,English,1000+,Product
356,15/12/2018 20:43:02,30,M,Berlin,Senior Software Engineer (Data Engineer),8,Senior,66000,63000,53000,No,English,100-1000,Startup
359,15/12/2018 21:12:04,31,M,Berlin,Scala Developer,9,Senior,60000,60000,60000,No,English,1000+,Startup
366,15/12/2018 22:24:04,31,M,Berlin,Team lead PHP,10,Senior,60000,55000,50000,No,English,100-1000,Product
368,15/12/2018 22:32:31,31,M,Berlin,Team Lead,9,Senior,70000,70000,60000,No,English,1000+,Product
369,15/12/2018 22:46:17,26,M,Berlin,Full stack developer,6,Senior,60000,54000,45000,No,English,Oct-50,Startup
371,15/12/2018 23:10:31,32,M,Prague,Engineering Manager,11,Senior,70000,62000,55000,Yes,English,1000+,Product
372,15/12/2018 23:34:27,34,M,MÃ_nchen,Java Developer,14,Senior,70000,65000,60000,No,Russian,Oct-50,Startup
373,16/12/2018 00:10:34,33,M,Berlin,Senior PHP Developer,10,Senior,54000,48000,48000,No,English,50-100,Product
374,16/12/2018 00:15:34,35,M,MÃ_nchen,Deep Learning Researcher (PHD),7,Senior,130000,120000,115000,No,English,100-1000,Product
376,16/12/2018 01:41:06,34,M,Berlin,Senior Software Engineer,10,Senior,76000,68000,62000,Yes,English,100-1000,Startup
378,16/12/2018 07:33:00,30,M,Moscow,Senior software engineer,10,Senior,31500,17400,10001,No,Russian,1000+,Agency
380,16/12/2018 10:20:57,37,M,Berlin,QA Automation,6,Senior,52000,42000,40000,No,English,100-1000,Product
381,16/12/2018 10:39:55,30,M,Berlin,Lead developer,9,Senior,75000,65000,57000,Yes,English,50-100,Startup
382,16/12/2018 10:45:23,37,F,Berlin,Senior Software Ingenieur Java,10,Senior,68000,58000,55000,No,Deutsch,100-1000,IT Dienstleistungen 
385,16/12/2018 11:11:12,37,M,MÃ_nchen,Lead Architect,15,Senior,110000,110000,95000,No,Deutsch,1000+,Agency
387,16/12/2018 11:51:14,30,M,MÃ_nchen,Team Lead,9,Senior,70000,65000,75000,Yes,English,100-1000,Startup
389,16/12/2018 12:50:24,32,F,MÃ_nchen,Scrum Master,12,Middle,72000,53000,48000,No,English,100-1000,Product
391,16/12/2018 13:31:18,22,M,"Belgrade, Serbia",Sr. JS Developer,10,Senior,120000,100000,100000,No,English,100-1000,Agency
392,16/12/2018 14:59:51,35,M,Kyiv,Javascript Developer,10,Senior,43000,43000,43000,No,Russian,Oct-50,Product
394,16/12/2018 17:20:10,29,M,Berlin,Senior Backend Developer,7,Senior,70000,70000,54000,No,English,100-1000,Product
396,16/12/2018 18:16:01,31,F,MÃ_nchen,Business Intelligence Analyst,4,Middle,67000,67000,55000,No,English,1000+,Product
398,16/12/2018 18:58:21,25,M,Berlin,Software Developer (Python Backend),3,Middle,75000,55000,48000,Yes,English,50-100,Product
399,16/12/2018 19:01:40,30,M,Frankfurt,System administrator ,9,Middle,65000,18000,17000,No,English,100-1000,Stock market 
400,16/12/2018 19:14:58,37,M,Berlin,Software Engineer ,6,Senior,63000,63000,55000,No,English,100-1000,Product
402,16/12/2018 19:25:43,34,M,Amsterdam,Designer,10,Senior,57000,56000,55000,No,English,50-100,Product
403,16/12/2018 19:53:03,30,M,Frankfurt,Data Scientist,7,Senior,112000,105000,105000,No,Deutsch,100-1000,Product
404,16/12/2018 20:13:37,27,M,Berlin,Software Engineer,11,Senior,100000,80000,70000,Yes,English,1000+,Ecommerce
405,16/12/2018 20:20:45,30,M,MÃ_nchen,CTO ,5,Senior,72000,50000,50000,Yes,English,up to 10,Startup
407,16/12/2018 21:14:16,32,F,MÃ_nchen,java fullsteck developer,3,Junior,44000,42000,42000,No,Deutsch,100-1000,Product
408,16/12/2018 21:28:14,31,M,NÃ_rnberg,Software Engineer,6,Middle,59000,50000,50000,No,Deutsch,1000+,Consulting
409,16/12/2018 21:48:16,38,M,MÃ_nchen,QA,10,Senior,66000,63000,61000,Yes,Deutsch,100-1000,Product
411,16/12/2018 23:03:08,36,M,Hamburg,Senior Software Developer,10,Senior,65000,65000,65000,No,English,100-1000,Product
412,17/12/2018 00:02:54,31,F,MÃ_nchen,Java Developer,9,Middle,47000,45000,45000,No,English,Oct-50,Agency
413,17/12/2018 00:07:22,33,M,Amsterdam,Tech lead,9,Middle,60000,59000,59000,No,English,100-1000,Product
418,17/12/2018 08:37:06,29,M,MÃ_nchen,DevOps,9,Senior,70000,60000,55000,Yes,English,50-100,Startup
420,17/12/2018 10:07:20,43,M,Berlin,Consultant,18,Senior,70000,70000,64000,No,Deutsch,50-100,Product
421,17/12/2018 10:45:22,30,M,MÃ_nchen,Test Engineer,10,Senior,80000,76000,72000,No,Russian,100-1000,Product
423,17/12/2018 11:19:25,32,M,Berlin,Developer,12,Senior,66000,64000,60000,Yes,English,50-100,Startup
426,17/12/2018 12:11:26,36,M,Berlin,CTO,15,Senior,89000,79000,68000,Yes,English,Oct-50,Startup
427,17/12/2018 13:17:43,31,M,Berlin,Devops,6,Senior,72000,70000,62500,No,English,1000+,Product
429,17/12/2018 14:07:36,34,M,Berlin,Senior Software Engineer,15,Senior,60000,20000,20000,No,English,1000+,Product
431,17/12/2018 14:11:08,43,M,Berlin,SAP Consulter/ABAP Developer ,16,Senior,86000,84000,82000,Yes,Deutsch,50-100,Consulting
432,17/12/2018 14:23:30,29,M,Krakau,DevOps Engineer,11,Senior,45000,39200,28000,No,English,1000+,Outsourcing
433,17/12/2018 14:25:20,27,M,MÃ_nchen,Java Developer,5,Senior,72000,60000,55000,Yes,Russian,50-100,Startup
437,17/12/2018 15:40:30,25,M,Berlin,Android dev,6,Senior,60000,55000,48000,No,English,100-1000,Product
439,17/12/2018 16:01:29,36,M,Berlin,Senior Web Deleloper,8,Senior,55000,28000,28000,Yes,English,Oct-50,Startup
440,17/12/2018 16:14:23,35,M,London,Software developer,12,Senior,111000,95000,95000,No,English,100-1000,Product
442,17/12/2018 16:18:13,48,M,Bitburg,SSE,18,Senior,92100,89300,87600,No,Deutsch,100-1000,Product
446,17/12/2018 16:46:55,30,M,Berlin,Web Developer,8,Senior,75000,62000,55000,Yes,English,1000+,Product
448,17/12/2018 17:08:52,31,M,Berlin,Software Developer,9,Senior,70000,60000,60000,No,English,50-100,Product
450,17/12/2018 17:28:36,27,M,Berlin,Front End Engineer,8,Senior,70000,65000,63000,Yes,English,100-1000,Product
452,17/12/2018 18:24:15,30,M,MÃ_nchen,Full Stack Developer,9,Senior,75000,65000,65000,No,English,1000+,Product
454,17/12/2018 18:36:29,25,M,Poland,QA Engineer,2.5,Middle,24000,16500,16500,No,Polish,1000+,Product
456,17/12/2018 19:02:21,33,M,Prague,.NET Developer,10,Senior,39600,33600,30000,No,English,1000+,Outsource
458,17/12/2018 20:23:15,33,M,DÃ_sseldorf,C++ Software Engineer,12,Senior,57000,57000,57000,No,Russian,up to 10,Product
